Specific ID,Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code",AER Fuel Type Code,Reserved,Reserved,"Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December",Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),YEAR
3766,6404,N,,Deer Creek (UT),U S Bureau of Reclamation,2518,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19046,16472,21956,21411,21652,22734,24338,21835,17298,16660,18192,18367,19046,16472,21956,21411,21652,22734,24338,21835,17298,16660,18192,18367,2067,1788,2383,2324,2350,2468,2642,2370,1878,1808,1975,1994,0,0,239961,239961,26046,2017
3767,6405,N,,Flaming Gorge,U S Bureau of Reclamation,2518,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613070,530230,706740,689212,696970,731794,783427,702868,556805,536288,585576,591237,613070,530230,706740,689212,696970,731794,783427,702868,556805,536288,585576,591237,66544,57552,76711,74809,75651,79431,85035,76291,60437,58210,63560,64174,0,0,7724217,7724217,838404,2017
3806,6481,N,,Intermountain Power Project,Los Angeles Department of Water & Power,11208,UT,MTN,WECC,,22,1,Electric Utility,ST,BIT,COL,,,short tons,372562,223240,109446,58827,248174,236613,314656,321622,300237,325133,297179,313727,372562,223240,109446,58827,248174,236613,314656,321622,300237,325133,297179,313727,21,21,21,22,22,22,22,22,22,22,21,21,7924394,4683575,2347617,1297135,5368004,5233880,6897260,6998495,6524150,7000113,6383405,6682385,7924394,4683575,2347617,1297135,5368004,5233880,6897260,6998495,6524150,7000113,6383405,6682385,815323,477221,240893,135405,547782,534923,712966,715365,658528,727544,660332,690118,3121416,3121416,67340413,67340413,6916401,2017
3807,6481,N,,Intermountain Power Project,Los Angeles Department of Water & Power,11208,UT,MTN,WECC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,2454,1294,3186,5090,5415,1890,2506,1766,2241,2424,2674,2885,2454,1294,3186,5090,5415,1890,2506,1766,2241,2424,2674,2885,6,6,6,6,6,6,6,6,6,6,6,6,14209,7492,18479,29573,31353,10943,14535,10225,12998,14083,15536,16791,14209,7492,18479,29573,31353,10943,14535,10225,12998,14083,15536,16791,1462,763,1896,3087,3199,1118,1502,1045,1312,1464,1607,1734,33825,33825,196217,196217,20191,2017
3808,6481,N,,Intermountain Power Project,Los Angeles Department of Water & Power,11208,UT,MTN,WECC,,22,1,Electric Utility,ST,SUB,COL,,,short tons,35655,60853,67974,53908,59241,76305,65632,60257,39672,65573,73408,65465,35655,60853,67974,53908,59241,76305,65632,60257,39672,65573,73408,65465,20,20,20,20,20,20,20,20,21,20,20,20,703117,1197587,1345885,1065761,1161716,1529152,1302795,1211166,814863,1297034,1446138,1294243,703117,1197587,1345885,1065761,1161716,1529152,1302795,1211166,814863,1297034,1446138,1294243,72342,122025,138104,111253,118548,156285,134669,123802,82250,134805,149596,133662,723943,723943,14369457,14369457,1477340,2017
3834,6537,N,,Little Cottonwood,City of Murray - (UT),13137,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7296,6310,8410,8202,8294,8708,9323,8364,6626,6382,6968,7036,7296,6310,8410,8202,8294,8708,9323,8364,6626,6382,6968,7036,792,685,913,890,900,945,1012,908,719,693,756,764,0,0,91919,91919,9977,2017
3921,7015,N,,Unit 4,City of Mt Pleasant - (UT),13037,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3057,2644,3524,3436,3475,3648,3906,3504,2776,2674,2919,2948,3057,2644,3524,3436,3475,3648,3906,3504,2776,2674,2919,2948,332,287,382,373,377,396,424,380,301,290,317,320,0,0,38511,38511,4180,2017
3924,7028,N,,Whitehead,City of Springville - (UT),17845,UT,MTN,WECC,,22,1,Electric Utility,IC,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,7,5,5,29,29,7,2017
3925,7028,N,,Whitehead,City of Springville - (UT),17845,UT,MTN,WECC,,22,1,Electric Utility,IC,NG,NG,,,mcf,4011,2212,1820,1779,1958,2787,3960,4662,2745,1566,1844,3063,4011,2212,1820,1779,1958,2787,3960,4662,2745,1566,1844,3063,1,1,1,1,1,1,1,1,1,1,1,1,4159,2294,1887,1845,2030,2890,4107,4834,2847,1624,1912,3176,4159,2294,1887,1845,2030,2890,4107,4834,2847,1624,1912,3176,1027,566,466,456,502,714,1014,1194,703,401,472,784,32407,32407,33605,33605,8299,2017
3932,7034,N,,Hydro II,City of Logan - (UT),11135,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22004,19031,25366,24737,25016,26266,28119,25227,19985,19248,21017,21221,22004,19031,25366,24737,25016,26266,28119,25227,19985,19248,21017,21221,2388,2066,2753,2685,2715,2851,3052,2738,2169,2089,2281,2303,0,0,277237,277237,30092,2017
