Specific ID,Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code",AER Fuel Type Code,Reserved,Reserved,"Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December",Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),YEAR
2900,3456,N,,Newman,El Paso Electric Co,5701,TX,WSC,WECC,,22,1,Electric Utility,CA,NG,NG,,,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28498,21861,8312,22012,36526,38215,42720,43542,39651,9370,2414,54906,0,0,0,0,348027,2017
2901,3456,N,,Newman,El Paso Electric Co,5701,TX,WSC,WECC,,22,1,Electric Utility,CT,NG,NG,,,mcf,979281,734821,677781,851222,1096047,1209149,1441245,1503969,1290964,381704,404912,1039738,979281,734821,677781,851222,1096047,1209149,1441245,1503969,1290964,381704,404912,1039738,1,1,1,1,1,1,1,1,1,1,1,1,1028245,768623,710992,893783,1155234,1273234,1520513,1589695,1378750,403461,428802,1103162,1028245,768623,710992,893783,1155234,1273234,1520513,1589695,1378750,403461,428802,1103162,68218,54102,52503,61381,80112,88927,105386,113755,95966,27522,25155,86978,11610833,11610833,12254494,12254494,860005,2017
2902,3456,N,,Newman,El Paso Electric Co,5701,TX,WSC,WECC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
2903,3456,N,,Newman,El Paso Electric Co,5701,TX,WSC,WECC,,22,1,Electric Utility,ST,NG,NG,,,mcf,297395,275444,254818,200452,732839,1054831,1088999,1034358,739217,1002805,1012485,725298,297395,275444,254818,200452,732839,1054831,1088999,1034358,739217,1002805,1012485,725298,1,1,1,1,1,1,1,1,1,1,1,1,312265,288114,267304,210475,772412,1110737,1147805,1093316,790223,1059965,1072222,768816,312265,288114,267304,210475,772412,1110737,1147805,1093316,790223,1059965,1072222,768816,24031,21600,20627,18044,66472,92836,93164,89429,65860,88106,89320,66120,8418941,8418941,8893654,8893654,735609,2017
2904,3457,N,,Lewis Creek,Entergy Texas Inc.,55937,TX,WSC,SERC,,22,1,Electric Utility,ST,NG,NG,,,mcf,1003143,862861,1784322,1657472,1318093,1647897,1685459,2276770,1501002,1137455,1615418,2063533,1003143,862861,1784322,1657472,1318093,1647897,1685459,2276770,1501002,1137455,1615418,2063533,1,1,1,1,1,1,1,1,1,1,1,1,1026215,891335,1869969,1705539,1355000,1682503,1724225,2347350,1538527,1161342,1647726,2096550,1026215,891335,1869969,1705539,1355000,1682503,1724225,2347350,1538527,1161342,1647726,2096550,91546,82961,176725,157438,121704,154199,157655,207640,139293,107097,149527,189479,18553425,18553425,19046281,19046281,1735264,2017
2905,3459,N,,Sabine,Entergy Texas Inc.,55937,TX,WSC,SERC,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,1,1,1,2,2,1,0,8,0,4,1,4,1,1,1,2,2,1,0,8,0,4,1,4,6,6,6,6,6,6,0,6,0,6,6,6,6,6,6,12,12,6,0,47,0,24,6,24,6,6,6,12,12,6,0,47,0,24,6,24,0,1,1,1,1,0,0,4,0,2,0,2,25,25,149,149,12,2017
2906,3459,N,,Sabine,Entergy Texas Inc.,55937,TX,WSC,SERC,,22,1,Electric Utility,ST,NG,NG,,,mcf,1782370,1246921,1389850,4426427,5632845,5576758,5780660,4375367,4831754,4073783,1875195,2716328,1782370,1246921,1389850,4426427,5632845,5576758,5780660,4375367,4831754,4073783,1875195,2716328,1,1,1,1,1,1,1,1,1,1,1,1,1830494,1283082,1434325,4625616,5829995,5760791,6052351,4554757,4986370,4195996,1952078,2795102,1830494,1283082,1434325,4625616,5829995,5760791,6052351,4554757,4986370,4195996,1952078,2795102,142920,117499,133761,367649,345009,390991,466268,415251,399173,352478,164331,202622,43708258,43708258,45300957,45300957,3497952,2017
2907,3460,N,,Cedar Bayou,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,NG,NG,,,mcf,0,0,569144,1482151,1464646,3718481,4307683,3084197,1621948,1338011,1132081,39541,0,0,569144,1482151,1464646,3718481,4307683,3084197,1621948,1338011,1132081,39541,0,0,1,1,1,1,1,1,1,1,1,1,0,0,580527,1523651,1504191,3826317,4423990,3161302,1665741,1368785,1154723,39462,0,0,580527,1523651,1504191,3826317,4423990,3161302,1665741,1368785,1154723,39462,0,0,49530,131407,132278,345116,399502,280476,137842,112300,104001,69,18757883,18757883,19248689,19248689,1692521,2017
2908,3464,N,,Greens Bayou,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,GT,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
2909,3464,N,,Greens Bayou,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,GT,NG,NG,,,mcf,12769,11305,13399,13361,15265,19794,24579,22965,16884,14891,12374,15970,12769,11305,13399,13361,15265,19794,24579,22965,16884,14891,12374,15970,1,1,1,1,1,1,1,1,1,1,1,1,12948,11463,13587,13548,15479,20071,24923,23287,17120,15099,12547,16194,12948,11463,13587,13548,15479,20071,24923,23287,17120,15099,12547,16194,757,671,795,792,905,1174,1458,1362,1002,883,734,947,193556,193556,196266,196266,11481,2017
